source,identifier,reason,detail
bse_all,732043,out_of_scope_segment,Commercial Papers
bse_all,732045,out_of_scope_segment,Commercial Papers
bse_all,732046,out_of_scope_segment,Commercial Papers
bse_all,732047,out_of_scope_segment,Commercial Papers
bse_all,732048,out_of_scope_segment,Commercial Papers
bse_all,732049,out_of_scope_segment,Commercial Papers
bse_all,732050,out_of_scope_segment,Commercial Papers
bse_all,732051,out_of_scope_segment,Commercial Papers
bse_all,732052,out_of_scope_segment,Commercial Papers
bse_all,732053,out_of_scope_segment,Commercial Papers
bse_all,732054,out_of_scope_segment,Commercial Papers
bse_all,732055,out_of_scope_segment,Commercial Papers
bse_all,732056,out_of_scope_segment,Commercial Papers
bse_all,732057,out_of_scope_segment,Commercial Papers
bse_all,732058,out_of_scope_segment,Commercial Papers
bse_all,732059,out_of_scope_segment,Commercial Papers
bse_all,732060,out_of_scope_segment,Commercial Papers
bse_all,732061,out_of_scope_segment,Commercial Papers
bse_all,732062,out_of_scope_segment,Commercial Papers
bse_all,732063,out_of_scope_segment,Commercial Papers
bse_all,732064,out_of_scope_segment,Commercial Papers
bse_all,732065,out_of_scope_segment,Commercial Papers
bse_all,732066,out_of_scope_segment,Commercial Papers
bse_all,732067,out_of_scope_segment,Commercial Papers
bse_all,732069,out_of_scope_segment,Commercial Papers
bse_all,732070,out_of_scope_segment,Commercial Papers
bse_all,732071,out_of_scope_segment,Commercial Papers
bse_all,732072,out_of_scope_segment,Commercial Papers
bse_all,732073,out_of_scope_segment,Commercial Papers
bse_all,732074,out_of_scope_segment,Commercial Papers
bse_all,732075,out_of_scope_segment,Commercial Papers
bse_all,732076,out_of_scope_segment,Commercial Papers
bse_all,732077,out_of_scope_segment,Commercial Papers
bse_all,732079,out_of_scope_segment,Commercial Papers
bse_all,732080,out_of_scope_segment,Commercial Papers
bse_all,732081,out_of_scope_segment,Commercial Papers
bse_all,732082,out_of_scope_segment,Commercial Papers
bse_all,732083,out_of_scope_segment,Commercial Papers
bse_all,732084,out_of_scope_segment,Commercial Papers
bse_all,732085,out_of_scope_segment,Commercial Papers
bse_all,732086,out_of_scope_segment,Commercial Papers
bse_all,732087,out_of_scope_segment,Commercial Papers
bse_all,732088,out_of_scope_segment,Commercial Papers
bse_all,732090,out_of_scope_segment,Commercial Papers
bse_all,732091,out_of_scope_segment,Commercial Papers
bse_all,732092,out_of_scope_segment,Commercial Papers
bse_all,732093,out_of_scope_segment,Commercial Papers
bse_all,732095,out_of_scope_segment,Commercial Papers
bse_all,732096,out_of_scope_segment,Commercial Papers
bse_all,732097,out_of_scope_segment,Commercial Papers
bse_all,732098,out_of_scope_segment,Commercial Papers
bse_all,732099,out_of_scope_segment,Commercial Papers
bse_all,732100,out_of_scope_segment,Commercial Papers
bse_all,732101,out_of_scope_segment,Commercial Papers
bse_all,732102,out_of_scope_segment,Commercial Papers
bse_all,732103,out_of_scope_segment,Commercial Papers
bse_all,732104,out_of_scope_segment,Commercial Papers
bse_all,732106,out_of_scope_segment,Commercial Papers
bse_all,732107,out_of_scope_segment,Commercial Papers
bse_all,732108,out_of_scope_segment,Commercial Papers
bse_all,732109,out_of_scope_segment,Commercial Papers
bse_all,732110,out_of_scope_segment,Commercial Papers
bse_all,732111,out_of_scope_segment,Commercial Papers
bse_all,732113,out_of_scope_segment,Commercial Papers
bse_all,732114,out_of_scope_segment,Commercial Papers
